Start date,End date,Belgium [€/MWh] Original resolutions
Feb 1, 2022 12:00 AM,160.15
Feb 1, 2022 1:00 AM,154.54
Feb 1, 2022 2:00 AM,156.24
Feb 1, 2022 3:00 AM,155.17
Feb 1, 2022 4:00 AM,165.13
Feb 1, 2022 5:00 AM,163.01
Feb 1, 2022 6:00 AM,206.15
Feb 1, 2022 7:00 AM,239.17
Feb 1, 2022 8:00 AM,243.72
Feb 1, 2022 9:00 AM,213
Feb 1, 2022 10:00 AM,209.94
Feb 1, 2022 11:00 AM,172.81
Feb 1, 2022 12:00 PM,143.7
Feb 1, 2022 1:00 PM,137.69
Feb 1, 2022 2:00 PM,130.9
Feb 1, 2022 3:00 PM,126.42
Feb 1, 2022 4:00 PM,124.2
Feb 1, 2022 5:00 PM,127.37
Feb 1, 2022 6:00 PM,129.95
Feb 1, 2022 7:00 PM,121.63
Feb 1, 2022 8:00 PM,101.03
Feb 1, 2022 9:00 PM,84.66
Feb 1, 2022 10:00 PM,84.61
Feb 1, 2022 11:00 PM,54.74
Feb 2, 2022 12:00 AM,35.54
Feb 2, 2022 1:00 AM,11.84
Feb 2, 2022 2:00 AM,10.05
Feb 2, 2022 3:00 AM,10.36
Feb 2, 2022 4:00 AM,20.03
Feb 2, 2022 5:00 AM,67.31
Feb 2, 2022 6:00 AM,105.03
Feb 2, 2022 7:00 AM,136.92
Feb 2, 2022 8:00 AM,150.15
Feb 2, 2022 9:00 AM,136.14
Feb 2, 2022 10:00 AM,134.6
Feb 2, 2022 11:00 AM,135.71
Feb 2, 2022 12:00 PM,133.1
Feb 2, 2022 1:00 PM,138.92
Feb 2, 2022 2:00 PM,155.13
Feb 2, 2022 3:00 PM,193.09
Feb 2, 2022 4:00 PM,201.53
Feb 2, 2022 5:00 PM,238.01
Feb 2, 2022 6:00 PM,266.9
Feb 2, 2022 7:00 PM,265
Feb 2, 2022 8:00 PM,237
Feb 2, 2022 9:00 PM,203.47
Feb 2, 2022 10:00 PM,195.21
Feb 2, 2022 11:00 PM,184.26
Feb 3, 2022 12:00 AM,156.98
Feb 3, 2022 1:00 AM,159.06
Feb 3, 2022 2:00 AM,159.33
Feb 3, 2022 3:00 AM,157.56
Feb 3, 2022 4:00 AM,158.81
Feb 3, 2022 5:00 AM,162.92
Feb 3, 2022 6:00 AM,192.17
Feb 3, 2022 7:00 AM,209.91
Feb 3, 2022 8:00 AM,226.97
Feb 3, 2022 9:00 AM,223.33
Feb 3, 2022 10:00 AM,213.26
Feb 3, 2022 11:00 AM,209
Feb 3, 2022 12:00 PM,194.85
Feb 3, 2022 1:00 PM,191.46
Feb 3, 2022 2:00 PM,196.97
Feb 3, 2022 3:00 PM,209.67
Feb 3, 2022 4:00 PM,207.61
Feb 3, 2022 5:00 PM,224.15
Feb 3, 2022 6:00 PM,237.78
Feb 3, 2022 7:00 PM,224.96
Feb 3, 2022 8:00 PM,209.53
Feb 3, 2022 9:00 PM,186.82
Feb 3, 2022 10:00 PM,187.24
Feb 3, 2022 11:00 PM,145.05
Feb 4, 2022 12:00 AM,138.71
Feb 4, 2022 1:00 AM,128
Feb 4, 2022 2:00 AM,126.17
Feb 4, 2022 3:00 AM,127.69
Feb 4, 2022 4:00 AM,124.27
Feb 4, 2022 5:00 AM,120.37
Feb 4, 2022 6:00 AM,151.45
Feb 4, 2022 7:00 AM,192.43
Feb 4, 2022 8:00 AM,219.12
Feb 4, 2022 9:00 AM,169.66
Feb 4, 2022 10:00 AM,133.05
Feb 4, 2022 11:00 AM,133
Feb 4, 2022 12:00 PM,131.04
Feb 4, 2022 1:00 PM,120.57
Feb 4, 2022 2:00 PM,117.45
Feb 4, 2022 3:00 PM,117.81
Feb 4, 2022 4:00 PM,119.04
Feb 4, 2022 5:00 PM,128.44
Feb 4, 2022 6:00 PM,151.28
Feb 4, 2022 7:00 PM,119.27
Feb 4, 2022 8:00 PM,106.86
Feb 4, 2022 9:00 PM,108.21
Feb 4, 2022 10:00 PM,105.57
Feb 4, 2022 11:00 PM,87.38
Feb 5, 2022 12:00 AM,98.96
Feb 5, 2022 1:00 AM,88.81
Feb 5, 2022 2:00 AM,65.56
Feb 5, 2022 3:00 AM,49.98
Feb 5, 2022 4:00 AM,57.59
Feb 5, 2022 5:00 AM,63.11
Feb 5, 2022 6:00 AM,84.95
Feb 5, 2022 7:00 AM,114.57
Feb 5, 2022 8:00 AM,115.88
Feb 5, 2022 9:00 AM,135.14
Feb 5, 2022 10:00 AM,102.51
Feb 5, 2022 11:00 AM,114.34
Feb 5, 2022 12:00 PM,88.77
Feb 5, 2022 1:00 PM,74.32
Feb 5, 2022 2:00 PM,69.03
Feb 5, 2022 3:00 PM,87.82
Feb 5, 2022 4:00 PM,120.12
Feb 5, 2022 5:00 PM,150.6
Feb 5, 2022 6:00 PM,146.6
Feb 5, 2022 7:00 PM,115.86
Feb 5, 2022 8:00 PM,106.12
Feb 5, 2022 9:00 PM,39.87
Feb 5, 2022 10:00 PM,31.98
Feb 5, 2022 11:00 PM,10.98
Feb 6, 2022 12:00 AM,10.36
Feb 6, 2022 1:00 AM,9.23
Feb 6, 2022 2:00 AM,5.8
Feb 6, 2022 3:00 AM,0.17
Feb 6, 2022 4:00 AM,1.38
